,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
101,0,0,1,0,-0.1076,-0.1604,-0.1739,-0.1119,-0.35
102,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
103,0,0,1,0,-0.1152,-0.1381,-0.4348,-0.0856,-0.15
104,0,1,1,0,-0.1241,-0.1883,0.0,-0.1017,-0.35
105,0,2,1,0,-0.1199,-0.1687,0.087,-0.0746,0.25
106,0,3,1,0,,,,,-0.45
107,0,0,1,0,,,,,-0.5
108,0,1,0,0,,-0.2078,,-0.1107,-0.3
109,0,0,1,0,,-0.2064,,,-0.5
110,0,0,1,0,,,,,-0.5
111,0,1,1,0,-0.1199,-0.1687,0.087,-0.0746,0.25
112,0,0,1,0,,-0.2071,,,-0.5
113,0,0,0,0,,-0.2085,,,-0.4
114,0,1,0,0,-0.1199,-0.1687,0.087,-0.0746,0.25
115,0,2,1,0,-0.1221,-0.2008,0.5652,0.0029,0.15
116,0,2,0,0,,,,,-0.5
117,0,0,1,0,,-0.2078,,,-0.5
118,0,1,1,0,-0.1198,-0.1415,-0.4348,-0.1062,-0.2
119,0,0,1,0,-0.1299,-0.2064,,-0.1119,-0.25
120,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
121,0,0,0,0,0.0777,3.712,-0.0435,-0.07,0.7
122,0,0,0,0,-0.0922,0.0823,0.7391,1.0019,0.7
123,0,3,1,2,0.6477,1.9055,-0.4348,0.4294,0.9
124,0,1,1,2,6.2378,5.7368,0.913,1.7381,1.05
125,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
126,0,3,1,2,0.8748,0.0983,0.7826,0.1557,1.8
127,0,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
128,0,1,0,2,10.2384,8.2705,-0.8261,2.5312,-0.25
129,0,0,0,2,0.1979,0.4441,0.8696,0.3346,0.85
130,0,0,1,1,0.8421,0.2984,0.8261,1.0863,0.55
131,0,3,1,2,2.4047,2.0366,,3.277,1.1
132,0,1,1,1,0.2923,0.6672,0.913,0.1377,0.85
133,0,2,1,2,0.3691,0.0314,1.2609,1.6779,0.05
134,0,0,1,0,,-0.1743,-0.5652,,-0.1
135,0,1,1,0,-0.1285,-0.1046,-0.5217,-0.1085,-0.5
136,0,2,1,1,0.4531,0.8158,-0.1739,1.4671,0.15
137,0,1,1,1,0.2187,0.4741,1.3478,0.0293,1.65
138,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
139,0,3,0,2,0.0102,0.4323,0.6957,0.4294,0.05
140,0,3,0,0,,,0.087,,-0.5
141,0,0,0,2,,0.1394,-1.0,,-0.25
142,0,3,1,1,0.466,0.5139,1.087,2.4324,1.3
143,0,3,1,1,0.0051,0.1673,1.3043,0.1969,0.2
144,0,0,1,0,,-0.2064,,,-0.5
145,0,0,0,0,,,-0.4783,,-0.5
146,0,1,1,2,0.6235,-0.0865,1.1739,2.1443,0.95
147,0,3,1,0,,-0.198,0.3478,-0.0904,0.25
148,0,1,1,1,-0.097,-0.1074,1.0435,0.0296,1.15
149,0,0,0,0,,-0.1743,,,-0.5
150,0,3,1,1,0.0051,0.1673,1.3043,0.1969,0.2
151,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
152,0,0,1,0,,-0.2022,,-0.1107,-0.25
153,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
154,0,3,1,1,0.0878,-0.1255,0.3913,0.1966,0.55
155,0,1,1,0,,,-0.2174,,-0.3
156,0,0,0,0,,-0.2071,,,-0.5
157,0,1,0,0,-0.1285,-0.1917,-0.3913,0.0411,-0.35
158,0,1,0,0,-0.1285,-0.1917,-0.3913,0.0411,-0.35
159,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
160,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
161,0,1,1,1,0.2137,0.1234,0.2174,-0.0452,0.15
162,0,1,1,1,0.2187,0.4741,1.3478,0.0293,1.65
163,0,1,1,0,-0.0926,-0.1931,0.0435,-0.1017,-0.5
164,0,0,1,0,-0.1258,-0.2057,,-0.0929,-0.5
165,0,0,1,0,,-0.1952,-0.4348,-0.1017,-0.2
166,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
167,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
168,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
169,0,2,0,0,-0.1295,-0.2029,-0.5217,-0.1099,-0.3
170,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
171,0,1,1,1,0.1944,2.3664,,-0.0995,0.55
172,0,1,1,1,0.1944,2.3664,,-0.0995,0.55
173,0,3,0,1,-0.1197,,-0.4348,0.0144,-0.25
174,0,0,0,0,-0.122,-0.0139,-0.2609,-0.1062,-0.35
175,0,0,1,0,,-0.2022,-0.4783,,-0.5
176,0,2,1,1,0.0454,-0.1004,0.6087,0.1046,-0.05
177,0,3,1,0,-0.0604,,0.4783,-0.0906,0.05
178,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
179,0,0,1,0,,-0.2022,-0.4783,,-0.5
180,0,3,1,1,-0.0409,-0.0251,1.2609,-0.0678,-0.2
181,0,1,0,2,0.0102,0.4323,0.6957,0.4294,0.05
182,0,3,0,0,-0.1097,0.1673,-0.3913,-0.0938,-0.1
183,0,0,0,0,,,,,-0.5
