,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
2955,0,2,1,0,7254.0,36.0,43.0,400.0,19.0
2956,0,0,0,0,32810.0,174.0,41.0,21000.0,15.0
2957,0,0,0,0,,5.0,,,3.0
2958,0,0,1,0,2500.0,3.0,,142.0,7.0
2959,0,2,0,0,,11.0,45.0,,8.0
2960,0,0,0,1,43678.0,684.0,40.0,40000.0,14.0
2961,0,3,1,0,834.0,13.0,36.0,400.0,9.0
2962,0,0,1,0,,,,,0.0
2963,0,0,0,2,11819463.0,2779.0,80.0,60312.0,26.0
2964,0,0,0,0,,12.0,28.0,,0.0
2965,0,2,1,0,7254.0,36.0,43.0,400.0,19.0
2966,0,0,0,2,11819463.0,2779.0,80.0,60312.0,26.0
2967,0,0,1,0,3500.0,20.0,,10000.0,6.0
2968,0,0,0,0,350.0,20.0,34.0,50.0,6.0
2969,0,0,0,0,1327.0,41.0,30.0,400.0,1.0
2970,0,0,0,0,,3.0,,,8.0
2971,0,0,1,0,4000.0,45.0,,5800.0,1.0
2972,0,1,1,0,49369.0,53.0,60.0,2200.0,6.0
2973,0,0,1,0,356.0,4.0,26.0,400.0,11.0
2974,0,0,1,0,82339.0,48.0,38.0,50000.0,15.0
2975,0,0,0,0,,116.0,28.0,,0.0
2976,0,0,1,1,55701.0,42.0,36.0,8857.0,6.0
2977,0,0,1,1,307902.0,602.0,44.0,6300.0,3.0
2978,0,0,1,0,,18.0,33.0,,4.0
2979,0,0,1,0,,5.0,,,0.0
2980,0,3,1,0,,,,,0.0
2981,0,2,1,0,,1.0,,,0.0
2982,0,0,0,0,,1.0,,,0.0
2983,0,0,1,0,1000.0,3.0,,100.0,0.0
2984,0,0,1,0,,19.0,45.0,,1.0
2985,0,0,0,0,,30.0,38.0,300.0,0.0
2986,0,1,0,1,12414.0,,32.0,5637.0,5.0
2987,0,0,0,1,43678.0,684.0,40.0,40000.0,14.0
2988,0,0,0,1,43678.0,684.0,40.0,40000.0,14.0
2989,0,0,1,0,356.0,4.0,26.0,400.0,11.0
2990,0,0,1,0,,1.0,,,1.0
2991,0,0,0,0,1986.0,28.0,36.0,450.0,6.0
2992,0,3,0,0,200.0,2.0,,100.0,1.0
2993,0,0,1,0,2000.0,10.0,44.0,200.0,6.0
2994,0,0,0,0,,1.0,,,0.0
2995,0,0,1,1,55701.0,42.0,36.0,8857.0,6.0
2996,0,0,1,1,1000.0,3.0,,100.0,0.0
2997,0,0,1,0,200.0,3.0,,50.0,0.0
2998,0,0,1,0,3500.0,20.0,,10000.0,6.0
2999,0,2,1,0,,2.0,,,0.0
3000,0,0,1,1,55701.0,42.0,36.0,8857.0,6.0
3001,0,0,1,0,200.0,3.0,,50.0,0.0
3002,0,0,1,0,1000.0,3.0,,50.0,0.0
3003,0,0,1,1,66213.0,1383.0,30.0,300.0,6.0
3004,0,0,0,0,1986.0,28.0,36.0,450.0,6.0
3005,0,0,1,0,3500.0,20.0,,10000.0,6.0
3006,0,1,1,0,,3.0,,,0.0
3007,0,1,1,0,281.0,,26.0,760.0,11.0
3008,0,0,0,0,1000.0,150.0,27.0,100.0,2.0
3009,0,0,0,0,,12.0,31.0,,1.0
3010,0,1,1,0,,6.0,42.0,,0.0
3011,0,0,0,0,,30.0,38.0,300.0,0.0
3012,0,1,0,0,,55.0,35.0,100.0,0.0
3013,0,0,1,0,4000.0,45.0,,5800.0,1.0
3014,0,0,0,0,42658.0,136.0,51.0,6000.0,3.0
