,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
98,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
99,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
100,0,2,0,1,-0.0277,-0.1171,0.2609,-0.1062,0.3
101,0,1,1,0,,,,,-0.5
102,0,1,1,0,-0.126,-0.0851,-0.5652,-0.1085,-0.35
103,0,0,1,1,0.1911,-0.1645,0.0435,-0.0904,0.15
104,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
105,0,0,0,0,-0.0504,-0.092,0.3478,-0.0926,-0.2
106,0,0,1,0,-0.1285,-0.1046,-0.5217,-0.1085,-0.5
107,0,3,0,1,0.4422,0.191,0.9565,0.0044,0.65
108,0,0,1,1,0.1307,0.1102,0.087,-0.0264,-0.05
109,0,2,0,1,-0.0277,3.277,0.2609,-0.1062,0.3
110,0,3,1,1,-0.117,-0.1785,,6.0131,1.05
111,0,3,0,0,,-0.2036,,,-0.45
112,0,1,1,0,,-0.2064,,,-0.5
113,0,0,1,0,,,-0.2174,,-0.3
114,0,0,1,0,,-0.2064,,,-0.5
115,0,1,1,1,-0.0104,0.0209,-0.1304,-0.0437,0.25
116,0,0,1,1,-0.0058,0.6059,0.1739,1.3628,0.15
117,0,2,0,1,0.0522,1.2271,-0.4348,1.0214,-0.1
118,0,1,0,0,-0.1218,-0.0467,-0.5217,-0.1062,-0.35
119,0,2,1,1,0.4531,0.8158,-0.1739,1.4671,0.15
120,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
121,0,0,0,1,-0.0277,-0.1171,0.2609,-0.1062,0.3
122,0,1,0,2,3.1277,8.7809,0.3913,0.1317,0.8
123,0,1,0,2,-0.0163,0.0983,1.1304,0.1582,-0.05
124,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
125,0,2,1,0,,-0.1938,,,-0.5
126,0,0,0,1,-0.0933,0.2677,-0.087,0.791,0.2
127,0,2,1,0,-0.094,-0.129,-0.0435,-0.1106,0.1
128,0,3,1,1,0.0237,0.0697,0.0,-0.0678,0.5
129,0,1,0,2,2.1978,3.2407,0.8261,0.806,1.05
130,0,0,0,0,,0.0697,1.0,-0.0904,-0.35
131,0,2,1,0,,-0.2036,-0.1304,,-0.35
132,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
133,0,0,0,1,-0.1209,-0.1743,-0.3043,-0.1107,-0.3
134,0,0,0,2,21.5506,4.4623,,2.147,0.65
135,0,0,0,1,4.5712,,1.3913,6.4333,1.35
136,0,4,0,2,,,-0.2609,,-0.25
137,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
138,0,2,1,0,-0.0991,-0.1325,-0.087,5.5383,-0.35
139,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
140,0,0,0,2,21.5506,4.4623,,2.147,0.65
141,0,0,0,0,,,,,-0.5
142,0,1,0,0,,,,,-0.5
143,0,1,1,1,0.2151,0.1736,0.6522,1.7512,1.0
144,0,1,1,0,-0.1299,-0.1883,-0.2609,-0.1119,-0.25
145,0,0,1,0,-0.129,-0.1869,,-0.0113,-0.2
146,0,3,0,2,1.0893,1.3519,1.1304,1.605,1.2
147,0,0,1,2,-0.1098,-0.0509,0.4783,-0.0165,0.05
148,0,0,0,0,,,-0.6522,,-0.5
149,0,3,1,1,-0.1248,-0.205,0.7391,-0.048,0.75
150,0,0,0,2,0.018,0.9942,0.4783,-0.1017,0.65
151,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
152,0,0,0,1,-0.0933,0.2677,-0.087,0.791,0.2
153,0,2,1,0,-0.063,-0.1799,0.6522,-0.1017,0.35
154,0,0,1,1,0.0394,-0.0488,0.8696,0.457,1.15
155,0,2,0,0,-0.1296,-0.2008,-0.4783,-0.1107,-0.35
156,0,4,1,0,-0.1301,-0.2015,-0.087,-0.079,-0.05
157,0,0,0,1,1.3131,1.2222,1.4783,-0.0244,0.8
158,0,2,0,0,-0.1277,,,-0.1119,-0.2
159,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
160,0,2,1,1,0.3336,0.212,0.8696,0.9452,0.45
161,0,0,0,2,-0.0663,0.1143,0.087,-0.1033,-0.05
162,0,3,1,0,-0.1162,-0.1855,0.0,-0.1006,-0.5
163,0,0,1,0,-0.1194,-0.1799,0.3913,0.3232,0.6
164,0,0,0,0,,,,,-0.15
165,0,2,1,1,-0.009,-0.0983,0.6957,-0.0272,0.25
166,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
167,0,0,0,0,,-0.1757,-0.2609,,-0.5
168,0,0,0,0,-0.1233,-0.1123,-0.4783,0.2859,0.15
169,0,2,0,1,0.0534,-0.0628,-0.5217,7.0177,-0.2
170,0,1,0,0,,,-0.3913,,-0.5
171,0,0,0,2,21.5506,4.4623,,2.147,0.65
172,0,0,0,0,,-0.2008,-0.6087,,-0.5
173,0,0,1,2,,,,,-0.35
174,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
175,0,0,1,0,-0.129,-0.2043,-0.1304,-0.1096,0.1
176,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
177,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
178,0,0,1,1,0.1911,-0.1645,0.0435,-0.0904,0.15
179,0,0,0,0,-0.1133,,0.8261,-0.0904,0.25
180,0,0,1,0,-0.124,-0.2022,0.0435,-0.1085,-0.2
181,0,0,1,0,,-0.1534,,,-0.3
182,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
183,0,0,0,0,,,-0.6957,,-0.5
184,0,3,1,1,0.052,0.1987,1.3043,0.8891,1.2
185,0,0,0,2,3.246,2.0296,1.2174,4.4004,1.45
186,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
187,0,1,0,2,1.5751,0.9566,,0.5696,0.85
188,0,0,0,1,-0.0098,0.4393,0.1304,-0.0716,-0.35
189,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
190,0,0,1,0,-0.1042,-0.1513,-0.4348,-0.1119,-0.3
191,0,1,0,1,0.0,0.1597,-0.3913,0.0486,-0.5
192,0,0,1,0,,,,,-0.35
193,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
194,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
195,0,0,1,0,-0.1213,-0.1604,-0.3478,-0.0949,-0.2
196,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
197,0,0,0,1,,0.2092,,,-0.5
198,0,1,1,2,5.9334,3.4394,,10.9508,1.3
199,0,0,0,0,-0.1218,0.0558,,-0.1017,-0.25
200,0,0,1,0,,,-0.5217,,-0.5
201,0,2,1,0,-0.0619,0.0279,0.5652,-0.0855,0.25
202,0,0,1,0,-0.1295,-0.2022,-0.3913,-0.1052,-0.35
203,0,4,0,0,-0.03,,1.0,-0.103,0.0
204,0,0,1,0,-0.126,-0.2001,,-0.0904,-0.5
205,0,0,1,2,,,,,-0.5
206,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
207,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
208,0,3,1,1,0.6883,0.8269,1.0,4.003,0.8
209,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
210,0,2,0,1,0.0522,1.2271,-0.4348,1.0214,-0.1
211,0,0,0,0,,-0.2085,,,-0.5
212,0,2,1,2,0.3691,0.0314,1.2609,1.6779,0.05
213,0,0,1,0,-0.1016,-0.0349,-0.2609,0.415,0.0
214,0,0,1,0,-0.1136,-0.1604,0.1304,-0.0452,-0.35
215,0,4,1,0,,-0.1855,,-0.1017,0.05
216,0,3,1,2,0.8748,0.0983,0.7826,0.1557,1.8
217,0,2,1,0,-0.1241,-0.1841,0.0435,-0.104,0.45
218,0,0,1,0,-0.1271,-0.2008,-0.0435,-0.1107,0.15
219,0,2,1,1,-0.1214,-0.1513,0.3043,-0.0631,-0.05
220,0,0,0,1,0.6426,0.4386,0.2174,0.0113,0.45
221,0,0,0,0,-0.0504,-0.092,0.3478,-0.0926,-0.2
222,0,0,0,1,-0.1205,-0.0913,-0.1739,,-0.5
223,0,2,1,0,,,,-0.1107,-0.5
224,0,3,0,2,6.0338,4.0084,2.2609,19.9685,1.2
225,0,2,0,1,0.3021,1.552,0.6957,-0.0993,0.25
226,0,1,1,1,0.1944,2.3664,,-0.0995,0.55
227,0,1,0,0,,,-0.6087,,-0.45
228,0,0,0,0,-0.1218,-0.1715,0.6087,-0.0904,-0.15
229,0,1,0,0,-0.1285,-0.1046,-0.5217,-0.1085,-0.5
230,0,0,0,0,-0.1131,-0.0265,-0.1304,-0.1107,0.2
231,0,1,1,0,,,-0.2174,,-0.3
232,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
233,0,0,0,0,-0.1012,-0.1471,0.6957,-0.1022,-0.2
234,0,0,0,2,2.1978,3.2407,0.8261,0.806,1.05
235,0,3,1,0,-0.1226,-0.1548,0.5652,-0.0881,-0.35
236,0,0,0,0,-0.029,-0.0453,0.5652,0.1808,-0.2
237,0,1,0,1,0.2856,0.3145,0.087,0.0706,-0.1
238,0,0,0,0,,-0.2071,,,-0.5
239,0,2,1,0,-0.0855,-0.0349,,0.0197,-0.2
240,0,2,0,0,-0.1276,,-0.3043,-0.1125,-0.45
241,0,1,0,0,,-0.1604,-0.4348,,-0.5
242,0,0,1,0,-0.1297,-0.2043,-0.8261,-0.1096,-0.15
243,0,0,0,2,21.5506,20.7077,,2.147,0.65
244,0,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
245,0,0,0,0,,,,,-0.45
246,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
247,0,0,0,0,-0.1299,-0.1883,-0.2609,-0.1119,-0.25
248,0,0,0,1,0.6426,0.4386,0.2174,0.0113,0.45
249,0,0,0,0,-0.1291,-0.2043,-0.6957,-0.1062,0.05
250,0,0,0,0,0.0372,0.4888,-0.1739,1.5678,-0.35
251,0,1,0,1,0.7896,0.3612,0.2609,0.9375,1.95
252,0,0,1,0,-0.1284,-0.2008,-0.4783,-0.106,0.15
253,0,0,1,0,,,-0.5217,,-0.5
254,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
255,0,2,1,0,-0.1156,-0.1792,-0.2609,-0.1107,0.0
256,0,0,1,0,,,,,-0.5
257,0,0,1,0,,-0.1952,-0.4348,-0.1017,-0.2
258,0,1,1,0,-0.1272,-0.1708,,-0.1085,-0.2
259,0,0,1,1,0.1747,-0.1032,1.1304,1.1483,-0.35
260,0,0,0,0,,-0.2071,,,-0.5
261,0,0,0,2,0.208,0.0251,0.4348,0.0031,0.45
262,0,0,1,0,-0.1301,-0.205,0.4348,-0.1106,-0.5
263,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
264,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
265,0,3,1,0,-0.1097,-0.1659,0.8696,-0.1085,-0.05
266,0,2,0,0,-0.1295,-0.2008,-0.5652,-0.1107,-0.45
267,0,3,0,0,-0.1287,-0.1966,-0.087,-0.1051,0.4
268,0,3,1,0,-0.13,-0.2043,,-0.0691,0.05
269,0,0,0,0,,-0.2057,,,-0.35
270,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
271,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
272,0,0,1,0,,-0.1813,-0.3043,,-0.25
273,0,3,1,1,0.0403,-0.1429,1.4783,-0.113,0.7
274,0,0,0,0,-0.1298,-0.2085,,-0.1117,0.25
275,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
276,0,0,1,0,-0.1286,-0.1813,-0.3478,-0.1006,-0.5
277,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
278,0,3,1,0,-0.1073,-0.2029,0.3478,-0.1096,0.1
279,0,3,0,0,-0.03,,1.0,-0.103,0.0
280,0,1,1,1,-0.097,-0.1074,1.0435,0.0296,1.15
281,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
282,0,1,1,0,,-0.1966,0.1739,,0.25
283,0,0,1,2,-0.0738,-0.0676,,0.339,0.55
284,0,3,0,2,0.1571,0.2789,,-0.046,0.05
285,0,3,1,1,0.1433,0.518,0.6087,-0.113,0.2
286,0,0,0,1,-0.0095,0.7272,-0.4783,0.0927,0.05
287,0,1,1,0,-0.1287,-0.1945,0.2609,-0.1091,0.05
288,0,0,1,1,0.2396,-0.0237,1.1304,0.102,0.4
289,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
290,0,3,0,2,,-0.1952,1.0435,6.0568,0.3
291,0,0,1,1,0.0892,-0.069,1.8696,0.1879,0.95
292,0,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
