,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
10,인천,한국무역보험공사,한국무역보험공사 2024년 상반기 체험형 청년인턴 채용,신입/경력(연차무관),학력무관,인턴,중견기업,-,756 명 재직중,"6,664만원
자세히보기","1조 7,801억 3,480만원",우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
11,인천,인천광역시서구시설관리공단,2024년 제1회 블라인드 통합채용 공고,신입/경력(연차무관),학력무관,정규직,대기업,"342억 2,089만원 (2020)",558 명 재직중,"4,708만원
자세히보기",7억원,공기업공공기관-성장판 열린 회사-채용에 적극적인 회사-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사
12,인천,케이지스틸 주식회사,KG스틸 신입/경력사원 채용,신입/경력2년↑,대졸이상,정규직,중견기업,"3조 2,878억 4,212만원 (2023)","1,161 명 재직중","7,322만원
자세히보기","5,553억 1,141만원",1000대-KOSPI-안정적인 장수 회사-성장판 열린 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
13,인천,㈜셀트리온제약,셀트리온제약 신입 및 경력 상시채용,신입/경력(연차무관),학력무관,정규직외,대기업,"3,887억 9,433만원 (2023)",937 명 재직중,"5,006만원
자세히보기",198억 512만원,셀트리온그룹-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사-장기근속수당제공 기업-KOSDAQ 상장-휴식까지 챙겨줘요!
14,인천,(주)셀트리온,경영·업무지원,신입/경력(연차무관),대졸이상,계약직,대기업,"3,887억 9,433만원 (2023)",937 명 재직중,-,198억 512만원,1000대-셀트리온그룹-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-지방에 위치한 대기업-보너스로 행복해요♥-잘나가는 의료·바이오기업-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
15,대전,한국산업기술기획평가원,2024년 상반기 신입직원 채용공고,신입/경력(연차무관),학력무관,정규직외,중기업,"2조 9,256억 8,618만원 (2022)",420 명 재직중,"6,669만원
자세히보기","111억 4,880만원",1000대-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-
16,대전,삼성전자판매(주),갤럭시 컨설턴트 채용 (충청/경상권),신입/경력(연차무관),학력무관,계약직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중","7,218만원
자세히보기","176억 6,660만원",1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
17,대전,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중",-,"176억 6,660만원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
18,대전,한화에어로스페이스(주),2024년 2분기 한화에어로스페이스 대규모 경력사원 채용,경력(연차무관),대졸이상,정규직,대기업,"4조 9,789억 9,285만원 (2023)","6,917 명 재직중","6,920만원
자세히보기","2,656억 5,000만원",1000대-한화그룹-안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상---
19,대전,(주)하림,"[사무직][사무직]법무, 감사, 안전보건, R&D, 영업, 생산, 공무 등 모집",신입/경력(연차무관),학력무관,정규직,대기업,"1조 3,583억 4,038만원 (2023)","2,437 명 재직중","4,865만원
자세히보기",531억 485만원,1000대-하림그룹-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-지방에 위치한 대기업-거침없이 성장하는 회사-매출 1000대 기업-
20,광주,우리은행,[광주전남] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상----
21,광주,(주)하림,"[사무직][사무직]법무, 감사, 안전보건, R&D, 영업, 생산, 공무 등 모집",신입/경력(연차무관),학력무관,정규직,대기업,"1조 3,583억 4,038만원 (2023)","2,437 명 재직중","4,865만원
자세히보기",531억 485만원,1000대-하림그룹-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-지방에 위치한 대기업-거침없이 성장하는 회사-매출 1000대 기업-
22,광주,금호타이어,금호타이어 OE상주원 신규채용,경력(연차무관),학력무관,정규직,대기업,"1조 3,583억 4,038만원 (2023)","2,437 명 재직중",-,531억 485만원,1000대-KOSPI-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-매출 1000대 기업--
23,광주,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
